id,trailName,park,address,difficulty,length,createdAt,updatedAt
76,Grubb Ridge Loop to Peninsula Trail,Charles C. Deam Wilderness,"Tower Ridge Rd, Heltonville, IN 47436",Moderate,16.1,10/24/2019,10/24/2019
77,Harrison Trace Trail,Fort Harrison State Park,"Clark Rd, Indianapolis, IN 46216",Easy,2.4,10/24/2019,10/24/2019
78,Hathaway Nature Preserve Loop,,"Wabash County, Indiana 46992",Easy,1.5,10/24/2019,10/24/2019
79,Hayswood Nature Reserve Trail,,"755 IN-135, Corydon, IN 47112",Moderate,1.2,10/24/2019,10/24/2019
80,Hemlock Cliffs National Scenic Trail,Hoosier National Forest,"National Forest Rd, English, IN 47118",Moderate,1.2,10/24/2019,10/24/2019
81,Heron Rookery Trail,Indiana Dunes Heron Rookery,"1314-1300 N 450 E, Chesterton, IN 46304",Easy,3.1,10/24/2019,10/24/2019
82,Hickory Ridge Trail,,"W County Rd 925 N, Norman, IN 47264",Moderate,7.9,10/24/2019,10/24/2019
83,Hiking Trail 10,Brown County State Park,"Fire Tower, Nashville, IN 47448",Moderate,2.3,10/24/2019,10/24/2019
84,Hitz-Rhodehamel,,"1336 Freeman Ridge Rd, Nashville, IN 47448",Moderate,3,10/24/2019,10/24/2019
85,Holliday Park Trail,Holliday Park,"6363 Spring Mill Rd, Indianapolis, IN 46260",Moderate,1.5,10/24/2019,10/24/2019
86,Imagination Glen,Imagination Glen Park,"Iron Horse Heritage Trail, Portage, IN 46368",Moderate,6.9,10/24/2019,10/24/2019
87,Indiana Dunes Nature Center Trail,Indiana Dunes State Park,"Nature Center, Chesterton, IN 46304",Easy,0.2,10/24/2019,10/24/2019
88,Indiana Dunes Trail 10 and Trail 2 Loop,Indiana Dunes State Park,"Nature Center, Chesterton, IN 46304",Moderate,7.7,10/24/2019,10/24/2019
89,Indiana Dunes Trail 8 to Trail 4,Indiana Dunes State Park,"Nature Center, Chesterton, IN 46304",Moderate,1.8,10/24/2019,10/24/2019
90,Indiana Dunes Trail 9,Indiana Dunes State Park,"Nature Center, Chesterton, IN 46304",Easy,3.8,10/24/2019,10/24/2019
91,Indiana Dunes Trail 9 and 10 Loop,Indiana Dunes State Park,"Nature Center, Chesterton, IN 46304",Moderate,3.8,10/24/2019,10/24/2019
92,Jackson Creek Trail,Yellowwood State Forest,"389-1565 Yellowwood Lake Rd, Nashville, IN 47448",Easy,1.5,10/24/2019,10/24/2019
93,Jerry E.Clegg Botanical Garden,,"1805 N 400 E, Lafayette, IN 47905",Moderate,1.1,10/24/2019,10/24/2019
94,John Grubb Ridge and Terrill Ridge Loop Trail,Charles C. Deam Wilderness,"Tower Ridge Rd, Bloomington, IN 47401",Moderate,19.4,10/24/2019,10/24/2019
95,Johnson's Hill to Trail 8 to Trail 9 and Trail 10 Loop,Indiana Dunes State Park,"Paviliion and Beach House, Chesterton, IN 46304",Moderate,5.3,10/24/2019,10/24/2019
96,Kekionga Trail,,"231 E Monroe St, Decatur, IN 46733",Easy,4.2,10/24/2019,10/24/2019
97,Knob Lake and Pinnacle Loop Trail,Jackson Washington State Forest,"Camp Rd, Brownstown, IN 47220",Hard,4.1,10/24/2019,10/24/2019
98,Knobstone Trail,Jackson Washington State Forest,"Dream Lake, Carr Township, IN 47106",Hard,46.4,10/24/2019,10/24/2019
